id,x_e_out [-]
4,0.009961472
7,-0.08288041
10,-0.049602553
12,0.004052675
23,0.04017249
27,-0.12328255
34,0.074834995
36,-0.081021175
39,-0.07005166
43,-0.13919374
44,-0.012890587
45,-0.110281974
50,0.041486934
56,-0.116998166
57,0.05735564
60,0.01892445
62,0.07276552
68,-0.037138913
70,0.09412965
74,0.04817351
75,-0.0019224653
76,-0.054930266
78,-0.0668683
81,0.049028013
85,0.09613749
93,-0.012366711
95,0.07779491
97,0.06639608
99,0.0680958
112,0.017492857
116,-0.070249125
119,0.089093715
120,0.002291206
122,-0.020951482
127,-0.12151122
137,0.07210718
143,-0.04687796
146,-0.036798783
148,0.071171865
149,-0.1000541
150,-0.11181249
155,0.07160938
161,-0.053395774
164,-0.008825139
168,0.018550824
171,-0.016606782
177,-0.11795717
182,-0.04875744
183,-0.012346379
185,-0.054471295
186,-0.052885834
188,0.035741575
190,-0.04270326
192,-0.0031333268
200,-0.051654987
203,0.08120674
204,-0.01740159
206,0.04797723
207,0.009382636
209,0.039488222
210,-0.03803488
211,0.03248882
214,-0.050171018
215,0.09609168
216,0.043049496
218,0.06469679
221,0.057874944
223,0.068334274
227,0.06766773
233,-0.0019969675
237,-0.13356134
240,-0.095931955
241,0.044355065
245,0.035750333
249,-0.0076150573
254,-0.011890895
258,0.031665377
260,0.084071115
261,-0.14893377
268,-0.031505577
271,0.12431355
273,0.091854855
280,0.07619382
282,0.08775642
285,0.0032049902
288,-0.022258531
292,0.049179707
293,-0.0981148
294,-0.07937341
296,0.009523537
303,0.09307956
305,-0.08348949
306,0.002926186
308,0.021049904
316,0.018079955
317,0.061122026
319,0.08247766
321,0.04099866
322,0.03706435
326,0.08293144
327,0.100719124
330,-0.1356359
333,-0.055529304
338,0.10560826
339,0.05651178
340,0.053909644
341,0.09019216
342,0.035013776
347,0.08253704
348,-0.017684154
352,0.03264211
355,-0.051819686
358,-0.013296286
361,0.0015280483
362,0.02216879
364,0.023632284
369,-0.021538252
371,0.019118736
381,0.11642405
383,0.031600244
387,0.043124814
389,-0.01622014
397,0.02764549
400,-0.05120093
402,0.034686632
403,-0.034319393
407,-0.076094605
415,-0.04571677
417,-0.07163725
426,0.05244954
429,0.114565656
432,0.06884591
434,0.03737781
438,0.02380784
440,0.025129022
441,0.07672021
449,-0.06565597
450,-0.037827335
455,-0.056024015
456,-0.04288755
458,0.031373903
459,0.027393686
460,0.10058517
461,-0.017912671
462,0.11917039
466,-0.18851674
468,0.020899067
469,0.061524134
472,0.040417697
475,0.035745304
477,-0.06898561
479,-0.063745216
486,-0.08934469
487,0.054368366
488,-0.054308314
489,0.03245785
491,0.09682533
495,0.043639615
502,0.083944656
503,-0.071617045
504,0.07049454
506,-0.05123043
510,0.009655495
511,0.008929236
513,0.07589013
515,0.015499181
516,-0.060896423
517,0.051746637
521,-0.053576555
522,-0.043277085
525,0.07219983
527,-0.019914893
530,-0.07245366
531,0.06500687
534,0.089390054
539,0.055409152
541,-0.054537084
542,0.024307515
545,-0.04247939
555,-0.061283827
559,0.052395422
562,0.13021216
567,0.015491881
570,-0.0035966653
571,0.0059993058
574,0.034865264
578,0.119892225
579,0.03131529
582,0.07900609
584,0.03260232
588,-0.11752037
594,0.08278844
596,-0.05331033
601,-0.0760755
606,0.017558927
608,-0.023723358
609,0.055580914
610,-0.03701558
611,0.08586608
616,0.056451213
619,-0.049742304
620,-0.031558767
621,-0.00714823
623,-0.07988755
627,0.10985613
628,-0.014853866
630,-0.021912761
631,0.023843074
633,0.08748543
642,-0.033216506
645,-0.09219542
647,-0.036947466
649,-0.17260319
650,-0.032654062
651,-0.00025229141
652,0.050818354
657,-0.030796174
658,0.0062416033
663,0.028605985
667,0.037886683
671,0.03591917
674,-0.054786585
677,0.12507266
685,0.010938779
686,0.089281715
688,-0.047455892
689,-0.05106269
690,0.04300723
693,-0.008044545
695,0.060233217
699,-0.08235352
702,0.027148332
705,-0.0033549832
706,0.026600586
713,0.057429668
714,0.13877335
721,0.082632385
724,0.03456646
730,0.057545196
731,-0.16312334
733,0.10357904
734,0.012895836
737,0.0066944486
740,-0.042996716
743,-0.1374321
748,0.12688766
749,0.051191747
750,-0.11124959
752,0.0019567453
754,-0.048836276
759,-0.045619745
760,0.10470528
769,0.041071966
770,-0.0039420407
774,-0.07914407
776,0.07630453
778,-0.1763802
780,0.036356643
781,0.13497476
782,-0.042990815
783,0.10483391
786,-0.08647122
789,0.06190709
790,-0.046721082
792,0.08509211
793,0.08808864
797,-0.064080104
798,-0.025276273
800,0.05761147
808,0.10372957
810,-0.015306067
812,-0.011708213
816,0.07151142
819,0.02208319
824,0.09105656
825,0.024866624
831,-0.106337816
832,0.07501959
834,0.0028757553
837,0.038648788
838,-0.004828099
840,-0.13120787
842,0.093793124
843,0.06363527
844,-0.061109774
845,0.034726765
848,0.06112314
851,0.030967494
855,0.028119603
858,-0.035200033
860,0.033246044
861,-0.018831762
864,-0.021533621
865,-0.037527647
869,0.06092271
873,-0.018188808
875,0.09495693
881,0.05768495
884,0.041855384
885,-0.03719593
891,0.07254479
895,-0.059179414
896,0.086573906
902,0.07384578
904,0.032166153
908,-0.049888097
914,0.05956343
924,0.09941761
925,-0.037782613
926,0.06126687
928,-0.09755937
933,0.070176736
934,0.0334869
935,0.07197423
937,0.024787787
938,-0.059873547
939,-0.000439859
943,-0.04206884
950,-0.033612795
951,0.075675674
955,-0.09715005
960,0.10742479
961,-0.055416353
968,0.014837749
973,0.101149425
974,0.021452755
979,0.01423227
982,0.09453361
984,-0.0479367
987,0.022825463
991,0.03944161
992,-0.13921764
993,-0.014100998
998,0.08593438
999,0.1041879
1003,-0.13063176
1006,0.014913921
1007,0.09235373
1010,0.04812264
1012,0.0007541618
1014,-0.04644152
1017,0.025623482
1019,0.059731204
1020,0.053615876
1022,0.04036244
1024,0.060638133
1026,0.0708507
1029,0.040489923
1030,0.06988803
1033,0.032107722
1036,-0.019568397
1038,0.06929685
1040,-0.15446348
1042,0.046327468
1044,-0.024994206
1046,-0.051812388
1050,-0.05482574
1056,0.08451198
1058,0.056892484
1064,-0.097283944
1065,-0.04423389
1070,-0.003680507
1073,0.10880958
1075,0.11011853
1076,-0.058368336
1081,-0.16178852
1089,0.07813654
1092,0.052909497
1097,-0.08895976
1100,-0.052010786
1101,-0.11800828
1102,-0.023407048
1103,0.0029151519
1108,0.019898724
1112,0.0518756
1114,-0.07502803
1127,0.07019025
1129,0.120259255
1131,0.016474802
1136,0.05260513
1137,-0.05886238
1139,-0.056578305
1149,-0.0011465815
1150,-0.04553793
1158,0.019167004
1161,0.026636293
1165,0.020196725
1166,0.022666678
1168,0.1018881
1172,0.048973337
1173,-0.029711522
1174,0.0073856385
1183,0.021706067
1190,-0.07888966
1192,-0.066570394
1198,0.040361878
1206,0.0252947
1208,-0.13038146
1209,-0.044745818
1210,-0.03899222
1211,0.055722967
1214,-0.16895135
1215,0.046955712
1219,0.0626006
1220,-0.017295735
1224,-0.07691659
1226,0.051705997
1228,0.04252285
1231,-0.029988026
1232,-0.04639228
1237,0.017253805
1239,0.07510915
1242,-0.08056872
1243,0.04309717
1245,-0.027456295
1248,-0.06372738
1251,0.08541916
1259,-0.048179224
1261,-0.013676445
1265,-0.057305396
1267,0.059101354
1268,0.028990103
1273,-0.037716843
1274,0.15053646
1276,-0.06815929
1278,0.11172566
1280,0.082255796
1281,0.062721506
1295,0.058833826
1301,0.08883022
1306,0.08607993
1307,0.068242535
1312,0.03436085
1318,-0.0489551
1323,0.055567127
1324,0.07401536
1326,-0.018589566
1335,0.09029374
1337,0.031960417
1339,-0.11673137
1340,0.047866642
1341,-0.046871293
1347,0.08618834
1355,-0.00357222
1357,-0.019000415
1360,0.06983185
1361,0.057427067
1365,-0.017835606
1369,0.008322995
1371,0.12657341
1374,0.05827325
1375,0.011725775
1379,-0.007032858
1385,-0.07891018
1391,0.13497955
1396,0.054728247
1401,0.0908539
1402,-0.06407507
1407,0.070878126
1412,0.07098754
1413,0.087532796
1414,0.05888722
1427,-0.0380216
1429,-0.104562744
1435,-0.15530248
1436,-0.100625366
1438,0.03739093
1439,0.017665515
1445,0.11524582
1447,-0.06828361
1452,-0.0055728746
1454,0.008431445
1456,0.010162567
1461,0.015454815
1463,-0.09653356
1464,-0.113295175
1467,-0.112056546
1468,-0.054049514
1473,0.056099147
1474,0.1073203
1475,0.064709775
1476,-0.04840394
1478,-0.049725045
1481,-0.05697713
1482,-0.056252886
1485,-0.07971787
1487,0.16840284
1495,-0.0007090682
1498,0.058930393
1502,-0.04588757
1506,0.08531981
1508,0.10221854
1513,-0.13013203
1516,0.10987846
1518,0.08971054
1519,-0.054918744
1520,0.09971911
1522,0.04434938
1523,0.06513581
1525,0.076081716
1526,0.10006793
1529,0.15852478
1530,0.08240749
1531,0.055111457
1534,-0.039789215
1541,0.017008593
1546,-0.09048421
1552,-0.05101621
1553,0.04628788
1554,-0.013592066
1555,0.02582822
1557,0.039639287
1559,0.09120951
1560,-0.0409832
1564,0.06441193
1565,0.096822366
1566,-0.07942086
1567,0.067182325
1569,-0.022658838
1573,-0.101380736
1585,0.07715854
1592,-0.04042676
1598,-0.018214818
1603,0.031600244
1606,-0.049366944
1608,-0.082467325
1609,0.0065201325
1613,0.0028923093
1619,-0.046794698
1623,0.09825573
1624,0.029711457
1626,-0.006607788
1629,-0.10035771
1631,-0.013906668
1635,-0.17377688
1641,-0.07294715
1644,-0.0011936197
1645,0.019741936
1646,-0.093992256
1647,-0.03383961
1648,-0.057786558
1660,-0.0017357842
1661,-0.12188665
1664,-0.09051874
1666,0.034465693
1670,0.052210756
1671,0.038063757
1673,0.04802832
1677,-0.08116495
1678,-0.0039109956
1683,-0.014562926
1688,0.14318067
1694,0.016764166
1696,0.089819
1699,-0.08809172
1709,0.032093678
1711,0.108008556
1713,-0.07634921
1715,0.07671475
1716,0.07851468
1719,0.045497485
1720,-0.0016049722
1723,-0.073851265
1728,0.07596207
1730,-0.021840157
1741,-0.08966895
1742,-0.036739174
1747,-0.059321973
1749,-0.16457807
1750,0.056245357
1751,0.08517843
1752,-0.044826593
1758,-0.15580015
1760,0.09477685
1761,-0.012615604
1763,-0.039899494
1770,-0.049969755
1772,0.08392752
1773,-0.11627003
1774,0.09019216
1777,-0.043960746
1778,0.0738325
1779,0.084486626
1781,-0.04997173
1782,-0.037252102
1783,-0.012545868
1789,0.08216401
1790,0.033174586
1791,-0.022693528
1794,0.059907496
1801,-0.083480574
1802,0.009167983
1803,0.02367623
1804,-0.026746288
1805,-0.048781894
1806,-0.054156452
1809,0.09009647
1810,0.1298346
1812,0.08770109
1817,-0.003004481
1818,0.045258727
1832,0.012632859
1833,-0.0030638701
1834,-0.026625112
1835,0.032257557
1837,-0.06506057
1840,0.06932853
1841,-0.09720782
1844,-0.005235335
1848,0.025527347
1849,0.030887531
1850,0.090303995
1854,0.03194223
1856,-0.02834412
1857,0.010557058
1860,0.018980188
1863,-0.03469192
1864,0.07417273
1868,0.0798691
1869,0.077721804
1871,-0.01826468
1873,0.124510296
1885,-0.020477222
1886,0.006032222
1888,-0.023287525
1893,0.041442055
1895,-0.016195677
1897,0.014880966
1898,0.010763584
1900,0.08762442
1904,0.08426125
1907,-0.06603211
1908,-0.025104726
1912,-0.072226346
1914,0.016172167
1917,0.0030852596
1918,0.099996276
1922,-0.038724013
1924,-0.013773122
1927,0.020420767
1928,-0.015645903
1933,0.1270978
1935,-0.027213499
1940,-0.00071107195
1948,-0.10700018
1950,0.14350294
1952,-0.053122878
1953,0.08255054
1954,0.024467664
1955,0.08016812
1958,0.016658287
1959,-0.05750503
1963,-0.039972916
1964,0.02688192
1967,0.06289098
1969,-0.13379589
1974,0.031375855
1975,0.0033135572
1980,-0.017097633
1993,0.02959686
1997,0.068952076
2000,0.06241829
2003,0.10035807
2004,0.07992153
2008,0.003599198
2009,0.056340486
2013,-0.17390993
2016,-0.049943812
2019,0.06437753
2021,0.044564378
2022,0.029017126
2024,-0.004490757
2030,0.03757846
2034,-0.072013766
2038,0.020384775
2041,0.009390841
2045,0.0868308
2049,0.055488218
2053,-0.04237257
2057,0.044720083
2063,0.011638806
2069,-0.006021435
2071,-0.047646403
2072,0.06273702
2076,0.015047499
2078,0.017297864
2083,0.013018224
2084,0.072967805
2086,-0.03429679
2087,0.06501249
2089,0.07739696
2091,0.11447732
2093,0.06405057
2096,-0.114004895
2098,0.0071638804
2099,-0.04022373
2104,-0.15709107
2106,-0.06493155
2108,0.0599899
2109,-0.006392209
2110,0.016138377
2114,-0.0871838
2116,-0.025615731
2122,0.1411952
2127,0.011958
2128,-0.04461208
2130,0.078872435
2133,0.0020311577
2136,0.037051942
2142,0.031051457
2151,-0.06008211
2153,0.056263927
2155,0.050085757
2156,-0.16985516
2158,-0.10234248
2161,-0.0068747513
2163,-0.057631362
2165,-0.09855725
2166,-0.061166886
2171,0.10222398
2174,-0.14587867
2175,-0.02353256
2181,0.095184766
2183,-0.008066988
2188,-0.01300492
2193,0.11822651
2197,0.027544426
2199,0.06736905
